ID,celebraty_Name,Gender,profession,best_movie,image,details
59,"Akshaye Khanna",M,Actor,"Dil Chahta Hai","https://m.media-amazon.com/images/M/MV5BMjAxNDQyNDkxM15BMl5BanBnXkFtZTcwNTQyNTA0MQ@@._V1_UY209_CR87,0,140,209_AL_.jpg","Akshaye Khanna was born in Mumbai in 1975. He is the middle son of Bollywood actor and politician Vinod Khanna, and the younger brother of actor Rahul Khanna.After studying in Kishore Namit Kapoor Acting Institute in Mumbai, Khanna made his acting debut in Bollywood in 1997 with the movie Himalay ..."
60,"Twinkle Khanna",F,Actress,Barsaat,"https://m.media-amazon.com/images/M/MV5BMzMyYTA0ZGItZmIwZC00ZjMzLThiZTEtNzRmZWM4MTRlMjJkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UY209_CR13,0,140,209_AL_.jpg","Very few people have the privilege of being born on the same day as their mom or dad, Tina is one of them. She was born on 29 December 1974, and shares her date of birth with her dad, Jatin alias super-star Rajesh Khanna, born in 1942. Tina is the daughter of well-known Bollywood actress, Dimple ..."
61,"Shriya Saran",F,Actress,Drishyam,"https://m.media-amazon.com/images/M/MV5BMTk4MDc5NDk3MV5BMl5BanBnXkFtZTcwNTc5MDQ2NA@@._V1_UY209_CR87,0,140,209_AL_.jpg","Shriya Saran also known by the mononym Shriya, is an Indian film actress, model and presenter. She has worked in multiple of the regional industries of Indian cinema, including Hindi, Tamil, and Telugu language films, as well as a few films in English, Malayalam and Kannada. Saran made her film ..."
62,"Mugdha Godse",F,Actress,Fashion,"https://m.media-amazon.com/images/M/MV5BNzllMDk2OTQtYWQxYS00MDQwLWE5NmMtMmQ3NTMxMzNkMGM1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR0,0,140,209_AL_.jpg","Mugdha Godse was born on July 26, 1982 in Pune, Maharashtra, India. She is an actress and producer, known for Fashion (2008), Thani Oruvan (2015) and All the Best: Fun Begins (2009)."
63,"Rajeev Khandelwal",M,Actor,Aamir,"https://m.media-amazon.com/images/M/MV5BMTc3MDYwMjcxNV5BMl5BanBnXkFtZTgwNDk0ODA0OTE@._V1_UX140_CR0,0,140,209_AL_.jpg","Rajeev Khandelwal is an Indian film and television actor. Some of his most notable characters have been Dr. Aamir Ali in the 2008 debut film Aamir and ACP Arvind Mathur who battles his inner demons in Shaitan, the Tinnitus affected DJ from Soundtrack. He also played Vivaan Agasthi in the 2013 ..."
64,"Omi Vaidya",M,Actor,"3 Idiots","https://m.media-amazon.com/images/M/MV5BNjE2MjYzMjg0NV5BMl5BanBnXkFtZTcwMTYwNzMxOA@@._V1_UY209_CR5,0,140,209_AL_.jpg","Omi Vaidya is an actor and editor, known for 3 Idiots (2009), The Desert Rose (2007) and Resident Aliens. He has been married to Minal Patel since August 22, 2009."
65,"Aditi Rao Hydari",F,Actress,Padmaavat,"https://m.media-amazon.com/images/M/MV5BMTY3OTc3NTg2OV5BMl5BanBnXkFtZTgwMjkzMDY3NTE@._V1_UY209_CR17,0,140,209_AL_.jpg","Aditi Rao Hydari was born in 1986 in Hyderabad, from two royal lineages, that of Sir Akbar Hydari and J. Rameshwar Rao the erstwhile Raja of Wanaparthy.A classical Bharatanatyam dancer, she made her acting debut with Sharada Ramanathan's acclaimed film Sringaram and rose to fame after her ..."
66,"Celina Jaitly",F,Actress,"No Entry","https://m.media-amazon.com/images/M/MV5BNWFkODg2ZDgtMDVkOC00NGU2LTg5M2UtNGMwMzg2NTViOWYwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR10,0,140,209_AL_.jpg","Celina Jaitly was born on 24th Nov 1981 in Shimla, India to a Punjabi Indian father and an Afghan mother. Her father Colonel V.K. Jaitly, is a retired Indian Army colonel, and her mother, Meeta, an Afghan is a child psychologist, as well as a beauty queen. Celina has one brother, who is currently ..."
67,"Mithun Chakraborty",M,Actor,"OMG: Oh My God!","https://m.media-amazon.com/images/M/MV5BMjQwNDUxMzY4Ml5BMl5BanBnXkFtZTgwMTgxMTIzOTE@._V1_UY209_CR6,0,140,209_AL_.jpg","Mithun Chakraborty was born on June 16, 1947 in Barisal, Bengal Presidency, British India as Gouranga Chakraborti. He is an actor, known for OMG: Oh My God! (2012), Vivekananda (1994) and Guru (2007). He has been married to Yogeeta Bali since July 1982. They have four children. He was previously ..."
68,"Yami Gautam",F,Actress,Kaabil,"https://m.media-amazon.com/images/M/MV5BMTA3NzAwNjcwMjNeQTJeQWpwZ15BbWU4MDIyODgxMzkx._V1_UX140_CR0,0,140,209_AL_.jpg","She received IIFA - Star Debut of the Year Award and Zee Cine - Best Female Debut Award for Vicky Donor. She has acted in Total Siyappa and Action Jackson in 2014 and, Badlapur in 2015 against Varun Dhawan. All these movies performed well at the box office. She has also acted in Telugu Movie ..."
69,"Ayushmann Khurrana",M,Actor,Andhadhun,"https://m.media-amazon.com/images/M/MV5BOTk4MDY4ODAwNl5BMl5BanBnXkFtZTcwNzQ0MjY2Nw@@._V1_UY209_CR87,0,140,209_AL_.jpg","Ayushmann Khurrana was born on 14 September 1984 in Chandigarh, India. Ayushmann started off his career as a popular radio jockey, and eventually became a VJ on MTV India and one of the most popular hosts in India. He shot to stardom with the runaway hit, 'Vicky Donor' in 2012. His effortless act ..."
70,"Ajay Devgn",M,Actor,Shivaay,"https://m.media-amazon.com/images/M/MV5BMTY0MDY2MDMwOV5BMl5BanBnXkFtZTgwNDE4MDM0OTE@._V1_UY209_CR6,0,140,209_AL_.jpg","Ajay Devgn is an Indian film actor, director, and producer. He made his film debut with Phool Aur Kaante in 1991 and received a Filmfare Award for Best Male Debut for his performance in the film. He then starred in films such as Jigar (1992), Dilwale (1994), Suhaag (1994), Naajayaz (1995), Diljale ..."
71,"Kangana Ranaut",F,Actress,Queen,"https://m.media-amazon.com/images/M/MV5BMTA2NTg0ODA1ODJeQTJeQWpwZ15BbWU4MDM0NDkxNTMy._V1_UY209_CR4,0,140,209_AL_.jpg","Kangana was born on 20 March 1987 in Bhambla, near Manali, which is in the Mandi district of Himachal Pradesh. Her dad's name is Amardeep, who is a businessman and contractor, her mom, Asha, is a school-teacher. She has two sisters, eldest one is Rangoli, and she has a brother, Akshit, who is about..."
72,"Zayed Khan",M,Actor,"Main Hoon Na","https://m.media-amazon.com/images/M/MV5BMTA4NTg4NDQxMjheQTJeQWpwZ15BbWU4MDY0MzI4Mzkx._V1_UY209_CR87,0,140,209_AL_.jpg","Zayed Khan's parents are former Bollywood actor Sanjay Khan and interior designer Zarine Khan. Khan is the youngest of four children. His older sisters are Simone Khan (wife of Ajay Arora), Sussanne Roshan (married to actor Hrithik Roshan), and Farah Khan Ali (wife of DJ Aqeel). Khan is related as ..."
73,"Sameera Reddy",F,Actress,Race,"https://m.media-amazon.com/images/M/MV5BOTNkOTJhNGEtMWI1ZC00MTFlLTg0MGYtYzA5ZTA3NjVjMjM1XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR5,0,140,209_AL_.jpg","Sameera's versatility as an actress and a trained Indian classical dancer made her perfect for Bollywood films. She debuted in a music video that got her noticed and kick started her movie career as one of the top actresses in India and has appeared in over fifteen films in just four years. She has..."
74,"Ameesha Patel",F,Actress,"Kaho Naa... Pyaar Hai","https://m.media-amazon.com/images/M/MV5BMTg3MDE2MzQ2M15BMl5BanBnXkFtZTgwNTIxMTIzOTE@._V1_UY209_CR9,0,140,209_AL_.jpg","Grand-daughter of Indian freedom fighter, lawyer and former Justice Rajni Patel, Amisha, a Gemini, was born in Bombay's Breach Candy Hospital. Her younger brother Ashmit Patel is also a Bollywood film actor and her name is a blend of the first three letters of her father's name Amit and the last ..."
75,"Jaaved Jaffery",M,Actor,"The Forest",https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png,"Jaaved Jaffery is an actor, known for The Forest (2009)."
76,"Sanjay Dutt",M,Actor,"Munna Bhai M.B.B.S.","https://m.media-amazon.com/images/M/MV5BNzU2NTgwNzY1OF5BMl5BanBnXkFtZTcwMjQxNzcxOA@@._V1_UY209_CR87,0,140,209_AL_.jpg","Sanjay Dutt, son of Nargis and Sunil Dutt, was first featured in Rocky (1981), the movie was a box office hit.Sanjay's personal life was exacerbated by drug problems, and he later lost his wife Richa Sharma, to cancer. He was also arrested for having illegal weapons, and was imprisoned. After his ..."
77,"Abhay Deol",M,Actor,"Zindagi Na Milegi Dobara","https://m.media-amazon.com/images/M/MV5BMTU2NzkzODA3OV5BMl5BanBnXkFtZTcwMzk2MDMyOA@@._V1_UX140_CR0,0,140,209_AL_.jpg","Abhay Deol (born in 1976, India) is an Indian film actor. He is the nephew of famous veteran actor Dharmendra and cousin of actors Sunny Deol and Bobby Deol and actress Esha Deol. After graduating from Mumbai University, Abhay headed to Los Angeles and studied Fine Arts. After completing a two year..."
78,"Kalki Koechlin",F,Actress,"Yeh Jawaani Hai Deewani","https://m.media-amazon.com/images/M/MV5BNzI4NDQyMjU2MF5BMl5BanBnXkFtZTgwMzc4ODEzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg","Kalki Koechlin was born to French parents in a small village in Pondicherry. Her parents had come to India as hippies in the 1970s and settled there after they fell in love with the country. Her parents are devotees of Sri Aurobindo.Kalki was studying in Ooty when her parents insisted that she ..."
79,"Prachi Desai",F,Actress,"Once Upon a Time in Mumbaai","https://m.media-amazon.com/images/M/MV5BMzExNzQ0OTE5Nl5BMl5BanBnXkFtZTgwMTU1MjcxMjE@._V1_UY209_CR34,0,140,209_AL_.jpg","She is best known for her role as Bani Walia in the Hindi television drama Kasamh Se (2006) which aired on Zee TV. Prachi is the endorser, spokesperson, brand ambassador and the face of Neutrogena products in India.Prachi was born in Surat, Gujarat. She studied in St Joseph Convent, Panchgani and ..."
80,"Manoj Bajpayee",M,Actor,"Gangs of Wasseypur","https://m.media-amazon.com/images/M/MV5BMzUxODk5MmEtZGQxOC00NzUxLWI5YTEtYWFjMjZmZTIwNTA5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR8,0,140,209_AL_.jpg","Manoj Bajpayee was born on April 23, 1969 in Belwa, Bihar, India. He is known for his work on Gangs of Wasseypur (2012), Satya (1998) and Aks (2001). He has been married to Neha since February 23, 2005."
81,"Sonu Sood",M,Actor,"Jodhaa Akbar","https://m.media-amazon.com/images/M/MV5BZGI2MGUwYzQtZmVmNi00MDc3LWEwMzMtNTIzMWIzMDk5YzViL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR10,0,140,209_AL_.jpg","Sonu Sood was born in May 1973 to a entrepreneur and a teacher. He was born in Moga, Punjab but was raised in Nagpur. He has two sisters. He is an engineering graduate. He is married to Sonali and they have a son Ishaant. He was a Mr. India contestant. He is mainly known as the antagonist ..."
82,"Neha Dhupia",F,Actress,"Tumhari Sulu","https://m.media-amazon.com/images/M/MV5BMTQ1OTA2ODc4Ml5BMl5BanBnXkFtZTcwODE4MDY3Mg@@._V1_UY209_CR3,0,140,209_AL_.jpg","Neha was born in the Punjabi-speaking Dhupia family in Cochin, India, on August 27, 1980, and as is customary with most Punjabi and Sikh families - she was nicknamed 'Chotu'. Her dad is an Officer in the Indian Navy, Pradip Singh Dhupia; her mom, Manpinder, is a homemaker, and she has a brother, ..."
83,"Vinay Pathak",M,Actor,"Bheja Fry","https://m.media-amazon.com/images/M/MV5BMTgxODI1NTI2MV5BMl5BanBnXkFtZTgwODgxODYyNjE@._V1_UY209_CR86,0,140,209_AL_.jpg","Vinay Pathak was born on July 12, 1968 in Bhojpur District, Bihar, India. He is an actor and writer, known for Bheja Fry (2007), Rab Ne Bana Di Jodi (2008) and My Name Is Khan (2010)."
84,"Abhishek Bachchan",M,Actor,"Happy New Year","https://m.media-amazon.com/images/M/MV5BMTk1NjU1NjkxN15BMl5BanBnXkFtZTcwNDI4MDMzMg@@._V1_UY209_CR7,0,140,209_AL_.jpg","Aquarian Abhishek Srivastav was born in February 5, 1976, son of Bollywood mega-stars, Jaya Bhaduri and Amitabh Bachchan, brother to Shweta, uncle to her two children (Navya Naveli & Agastye), and the grandson of Harivansh Rai Srivastav, Hindu and Urdu poet, who wrote under the pen-name of ..."
85,Sridevi,F,Actress,"English Vinglish","https://m.media-amazon.com/images/M/MV5BMTQyMjg4Mzk2M15BMl5BanBnXkFtZTcwMjE0MTg2OA@@._V1_UY209_CR18,0,140,209_AL_.jpg","Sridevi was born on August 13, 1963 in her father's hometown of Sivakasi, Tamil Nadu, India. Her mother was from Tirupati, Andhra Pradesh. So Sridevi grew up speaking Telugu and Tamil. She has a sister named Srilatha and a stepbrother named Satish. Her dad passed away during the year 1991, while ..."
86,"Arjun Rampal",M,Actor,"Om Shanti Om","https://m.media-amazon.com/images/M/MV5BMTg0NTAzOTU4Ml5BMl5BanBnXkFtZTcwMzg1MjUyOA@@._V1_UX140_CR0,0,140,209_AL_.jpg","From Jabalpur, Arjun Rampal went to Delhi to complete his education.At a party in Delhi, Fasion Designer Rohit Bal spotted Arjun Rampal and cast him as a male model in his shows.In 1994, Arjun proclaimed the title for 'Society's Face Of The Year'. And soon after went on to become an Indian ..."
87,"Farhan Akhtar",F,Producer,"Zindagi Na Milegi Dobara","https://m.media-amazon.com/images/M/MV5BMjA4MjYwNzAzM15BMl5BanBnXkFtZTcwMzUyMTUxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg","An accomplished and award-winning producer-director-writer-actor-singer, Farhan Akhtar is the ultimate Bollywood multi-hyphenate. Born in 1974 to prolific Indian film writer and poet, Javed Akhtar and writer-director, Honey Irani , Farhan was raised in an environment where creativity and ..."
88,"Vivek Oberoi",M,Actor,Company,"https://m.media-amazon.com/images/M/MV5BMjA0NjYxODI4MF5BMl5BanBnXkFtZTgwMDcwMDMzOTE@._V1_UX140_CR0,0,140,209_AL_.jpg","Vivek Oberoi was born on the 3rd of September,1976 and attended Mayo college in Ajmer. At an actors' workshop in London he was spotted by none other than the director of NYU who (unsurprisingly) whisked Vivek off to New York, where he completed his Masters Degree in film acting. Back home in India ..."
89,"Manisha Koirala",F,Actress,"Dil Se..","https://m.media-amazon.com/images/M/MV5BMjMwMDMxOTQ1OV5BMl5BanBnXkFtZTcwNzIyMjcwNQ@@._V1_UY209_CR87,0,140,209_AL_.jpg","Manisha Koirala (born 16 August 1970) is a Nepali actress who mainly appears in Bollywood, though she has worked in several South Indian and her native country's films. Noted for her acting prowess, Koirala is the recipient of several accolades, including four Filmfare Awards-and is one of India's ..."
90,Tabu,F,Actress,Haider,"https://m.media-amazon.com/images/M/MV5BMTU0ODQ2MjA5NF5BMl5BanBnXkFtZTYwMjczMjA0._V1_UY209_CR1,0,140,209_AL_.jpg","Tabu is an Indian actress. She has mainly acted in Hindi films, though she has also starred in Telugu, Tamil, Malayalam, Marathi and Bengali-language films, as well as one American film. She has won the National Film Award for Best Actress twice, and holds the record for the most wins of Filmfare's..."
91,"Isha Koppikar",F,Actress,Don,"https://m.media-amazon.com/images/M/MV5BYmJjYWZlN2UtZTBmNS00MjllLWIzZjEtYTljZTQ1ZDAzN2JiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR4,0,140,209_AL_.jpg","Coming from a Konkani-speaking Mangalorean family of learned academicians, Isha has herself completed a course in Life Sciences from Ruia College, and was born on September 19, 1976 in Bombay, India. She has a younger brother.After completing her college course, she contested the 1995 Miss India ..."
92,"Sushmita Sen",F,Actress,"Main Hoon Na","https://m.media-amazon.com/images/M/MV5BZmRhMzE5YzYtZTllOC00ZGRmLTgzNmYtOTkxNjhmYjFmZjY3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR1,0,140,209_AL_.jpg","Sushmita was born in the Bengali-speaking Sen family on November 19, 1975 in Hyderabad, Andhra Pradesh, India. Her family consists of her dad, Shubeer, a former Indian Air Force Wing Commander; mom, Subhra, Jewelry Designer and owner of a Dubai-based store. She has two siblings, a sister named ..."
93,"Amrita Rao",F,Actress,"Main Hoon Na","https://m.media-amazon.com/images/M/MV5BMTg0MTAyMzcwMl5BMl5BanBnXkFtZTcwMjUzNjcyNA@@._V1_UX140_CR0,0,140,209_AL_.jpg","Amrita was born in the Rao family on June 7, 1986 in Mumbai, She speaks Konkani. She comes from a well to do Hindu family. Her dad owns an Advertising Agency.Amrita did not want to purse any career with Bollywood as she wanted to graduate in psychology, which she eventually did.No stranger to ..."
94,"Chitrangda Singh",F,Actress,"Yeh Saali Zindagi","https://m.media-amazon.com/images/M/MV5BMTcxMDg5MzQ4MV5BMl5BanBnXkFtZTcwNTMzMDMxNw@@._V1_UY209_CR87,0,140,209_AL_.jpg",""You have outdone Smita Patil," said Shekhar Kapur, when he saw Chitrangda Singh's performance in her debut movie Hazaaron Khwaishein Aisi (2003). And he is not the only one. Time and again Chitrangda has been compared to the legendary Smita Patil.Chitrangda began her career as a model prior to ..."
95,"Arjun Kapoor",M,Actor,Gunday,"https://m.media-amazon.com/images/M/MV5BMTU4ODM3ODA0Ml5BMl5BanBnXkFtZTgwNzA4MTgzMTE@._V1_UY209_CR87,0,140,209_AL_.jpg","Arjun Kapoor was born on June 26, 1985 in Bombay, Maharashtra, India. He is an actor and assistant director, known for Gunday (2014), Tevar (2015) and Ishaqzaade (2012)."
96,"Emraan Hashmi",M,Actor,"Once Upon a Time in Mumbaai","https://m.media-amazon.com/images/M/MV5BMjA4Nzk3MDU0OV5BMl5BanBnXkFtZTgwMTEyMDU0OTE@._V1_UX140_CR0,0,140,209_AL_.jpg","Emraan Hashmi was born 24 March 1979) is an Indian film actor who appears in Hindi languagefilms. Through his successful career, Hashmi has received three Filmfare Award nominations and has established himself as one of the most popular and highest-paid actor of Hindi cinema.Hashmi, member of the ..."
97,"Mallika Sherawat",F,Actress,Murder,"https://m.media-amazon.com/images/M/MV5BMDVlYWIxNGEtZmZiZi00ZWNmLWI2NTEtYzQ2OTBjNDU2N2MxXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR13,0,140,209_AL_.jpg","Mallika Sherawat was born on October 24, 1976 in Rohtak, Haryana, India as Reema Lambha. She is an actress, known for Murder (2004), San wa (2005) and Maan Gaye Mughall-E-Azam (2008). She was previously married to Karan Singh Gill."
98,"Nawazuddin Siddiqui",M,Actor,"Bajrangi Bhaijaan","https://m.media-amazon.com/images/M/MV5BMTU5NTQwMTI0NV5BMl5BanBnXkFtZTcwNzQyNTgxOA@@._V1_UX140_CR0,0,140,209_AL_.jpg","Nawazuddin Siddiqui (born 1974) also known as Nowaz is an Indian film actor who has appeared in some of Bollywood's major films including, Black Friday (2004), New York (2009), Peepli Live (2010), Kahani (2012), Gangs of Wasseypur (2012) and Gangs of Wasseypur - Part 2 (2012).Early life and ..."
99,"Aditya Roy Kapoor",M,Actor,"Aashiqui 2","https://m.media-amazon.com/images/M/MV5BZmNlODEzM2YtOTUyOS00MDVmLTk4YzgtMzAxZmQ2ZDBkNTAyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR6,0,140,209_AL_.jpg","Aditya Roy Kapoor was born on November 16, 1985 in Bombay, Maharashtra, India. He is an actor, known for Aashiqui 2 (2013), Yeh Jawaani Hai Deewani (2013) and Dear Zindagi (2016)."
100,"Sunny Leone",F,Actress,"Lies: Diary of an Escort","https://m.media-amazon.com/images/M/MV5BMTM2Mzc1MDYxOV5BMl5BanBnXkFtZTcwMzc1MDQ4Nw@@._V1_UY209_CR9,0,140,209_AL_.jpg","Born in Ontario, Canada, Sunny Leone grew up in idyllic surroundings, loving the cold Canadian winters and the snow that came with them. Building snowmen and ice skating were regular activities outside the Leone household every November through March. With a love for sports, singing and dancing, ..."
